instnm,city,stabbr,zip,latitude,longitude,adm_rate,sat_mid_read,sat_mid_math,act_mid_cumulative,act_mid_english,act_mid_math,act_mid_writing,sat_avg,ug_enrol,nprice_pub_cat1,nprice_pub_cat2,nprice_pub_cat3,nprice_pub_cat4,nprice_pub_cat5,nprice_pvt_cat1,nprice_pvt_cat2,nprice_pvt_cat3,nprice_pvt_cat4,nprice_pvt_cat5,avg_cost_attendance,completion_rate,grad_debt_median,grad_debt_med_LY,grad_debt_med_MY,grad_debt_med_HY,female,married,avg_familyincome,median_householdincome,median_earn_aftr6yr,number_gradstudent,zipcode,own_sc_low,parent_sc_low,own_sc_high,parent_sc_high,merge1,state,county,v_tier,v_ipeds_enrollment_2013,v_sticker_price_2013,v_sat_avg_2013,v_scorecard_netprice_2013,v_black_share_fall_2000,v_hisp_share_fall_2000,v_pct_arthuman_2000,v_pct_business_2000,v_pct_health_2000,v_pct_multidisci_2000,v_pct_publicsocial_2000,v_pct_stem_2000,v_pct_socialscience_2000,v_pct_tradepersonal_2000,_merge
Ave Maria School of Law,Naples,FL,34119,26.242138,-81.731358,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,286,34119,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Ave Maria University,Ave Maria,FL,34142-9505,26.335983,-81.438945,0.9179,574,555,25,25,23,NULL,1164,1048,NULL,NULL,NULL,NULL,NULL,15479,14928,16140,20109,20335,37423,0.5263,21500,11730,12000,14000,0.4839400428,PrivacySuppressed,95147.047109,72612.62,37523,37,34142,1.44341,1.39806,1.57513,1.39862,matched (3),FL,Collier,8,906,17940,1100,15853,,,,,,,,,,,matched (3)
Aveda Arts & Sciences Institute Minneapolis,Minneapolis,MN,55414,44.987863,-93.253713,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,554,NULL,NULL,NULL,NULL,NULL,13863,13855,18062,20719,21434,NULL,NULL,6333,6333,6333,3666,0.9439868204,0.0642504119,60304.61285,71721.99,32292,NULL,55414,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aveda Arts & Sciences Institute Seattle,Seattle,WA,98122,47.614402,-122.32176,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,37214,37410,39258,40699,40855,NULL,NULL,7773,7673,PrivacySuppressed,PrivacySuppressed,0.9601593625,0.1354581673,47345.613546,NULL,29393,NULL,98122,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aveda Arts & Sciences Institute-Baton Rouge,Baton Rouge,LA,70816-2246,30.426526,-91.054308,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,138,NULL,NULL,NULL,NULL,NULL,21325,19188,22588,25193,NULL,NULL,NULL,9833,9833,PrivacySuppressed,PrivacySuppressed,0.9567099567,0.1168831169,32126.406926,58816.03,22474,NULL,70816,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aveda Arts & Sciences Institute-Covington,Covington,LA,70433,30.494049,-90.104008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2337,NULL,NULL,NULL,NULL,NULL,21317,19974,20373,23292,25835,NULL,NULL,7917,7917,7917,7917,0.9529061103,0.1141579732,40964.247094,66366.82,25649,NULL,70433,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aveda Arts & Sciences Institute-Lafayette,Lafayette,LA,70503-3246,30.206168,-92.042092,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,153,NULL,NULL,NULL,NULL,NULL,14158,10500,16372,18608,NULL,NULL,NULL,7916,7916,7916,5735,0.9333333333,0.1377777778,41145.288889,47038.29,21205,NULL,70503,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aveda Arts & Sciences Institute-New York,New York,NY,10013,40.725861,-74.00497,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,325,NULL,NULL,NULL,NULL,NULL,26656,NULL,NULL,NULL,NULL,NULL,NULL,6333,6212,6333,5500,0.8965517241,0.0793103448,33789.741379,NULL,26743,NULL,10013,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aveda Arts & Sciences Institute-San Antonio,San Antonio,TX,78259-2792,29.637354,-98.452126,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,362,NULL,NULL,NULL,NULL,NULL,14855,14435,16228,17677,20000,NULL,NULL,7916,7916,7916,8673,0.9544072948,0.188449848,38553.31307,NULL,22586,NULL,78259,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aveda Fredric's Institute-Cincinnati,West Chester,OH,45069,39.35541,-84.361091,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,345,NULL,NULL,NULL,NULL,NULL,16550,18012,18153,20752,21443,NULL,NULL,9823,7917,7917,9825,PrivacySuppressed,0.0897959184,64634.012245,NULL,29740,NULL,45069,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aveda Fredric's Institute-Indianapolis,Carmel,IN,46032,39.908216,-86.066049,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,288,NULL,NULL,NULL,NULL,NULL,21259,21961,24815,25434,25969,NULL,NULL,8647,7389,8667,7665,0.953271028,0.0747663551,59731.299065,NULL,34692,NULL,46032,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aveda Institute Portland-Vancouver Campus,Vancouver,WA,98661-7264,45.643767,-122.603849,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,156,NULL,NULL,NULL,NULL,NULL,14672,NULL,NULL,NULL,NULL,NULL,NULL,7914,6893,6210,8000,0.9443298969,0.1216494845,35773.195876,NULL,28270,NULL,98661,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aveda Institute Rochester,Rochester,MN,55902-2110,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55902,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aveda Institute-Boise,Boise,ID,83704-4406,43.620545,-116.309994,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49,NULL,NULL,NULL,NULL,NULL,16144,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,9400,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.2068965517,35915.603448,NULL,19377,NULL,83704,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aveda Institute-Chapel Hill,Chapel Hill,NC,27514-7001,35.927944,-79.026769,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,216,NULL,NULL,NULL,NULL,NULL,15768,17203,19917,19337,20012,NULL,NULL,6333,6333,6333,8934,0.9664804469,0.1368715084,40722.667598,NULL,21957,NULL,27514,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aveda Institute-Chicago,Chicago,IL,60657,41.933493,-87.645838,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,114,NULL,NULL,NULL,NULL,NULL,23175,NULL,24025,27972,28995,NULL,NULL,7917,7917,7917,9126,0.9141630901,0.0515021459,45528.253219,NULL,29228,NULL,60657,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aveda Institute-Columbus,Columbus,OH,43214,40.062719,-83.043021,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,258,NULL,NULL,NULL,NULL,NULL,19580,20673,22042,24465,23274,NULL,NULL,6333,6333,6333,5125,0.9453717754,0.0682852807,37380.001517,NULL,24162,NULL,43214,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aveda Institute-Denver,Denver,CO,80204,39.745214,-104.992758,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,403,NULL,NULL,NULL,NULL,NULL,21038,18523,22191,24006,24006,NULL,NULL,9833,6333,9833,9833,0.939453125,0.126953125,43977.660156,NULL,30773,NULL,80204,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aveda Institute-Des Moines,West Des Moines,IA,50266,41.562675,-93.802586,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,173,NULL,NULL,NULL,NULL,NULL,12934,11725,14852,17681,17980,NULL,NULL,10877,7495,6333,9500,PrivacySuppressed,PrivacySuppressed,50534.005,NULL,32096,NULL,50266,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aveda Institute-Los Angeles,Los Angeles,CA,90024-2808,34.062797,-118.446566,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,140,NULL,NULL,NULL,NULL,NULL,18934,18396,21352,23791,23791,NULL,NULL,6333,6333,6333,5125,0.9453717754,0.0682852807,37380.001517,NULL,24162,NULL,90024,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aveda Institute-Madison,Madison,WI,53715-0000,43.072676,-89.398711,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,NULL,NULL,NULL,NULL,NULL,9470,17936,17263,17936,17936,NULL,NULL,6333,6333,6333,6333,0.9007263923,0.0726392252,43738.348668,NULL,31710,NULL,53715,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aveda Institute-Maryland,Bel Air,MD,21014-3639,39.531933,-76.349927,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,135,NULL,NULL,NULL,NULL,NULL,19343,20013,NULL,22057,NULL,NULL,NULL,6333,6333,6333,6333,PrivacySuppressed,PrivacySuppressed,32950.272727,77021.51,21526,NULL,21014,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aveda Institute-New Mexico,Albuquerque,NM,87104-1160,35.091873,-106.667464,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80,NULL,NULL,NULL,NULL,NULL,14633,16878,17195,20440,20440,NULL,NULL,8098,7000,PrivacySuppressed,PrivacySuppressed,0.9507389163,0.1477832512,33286.945813,NULL,23249,NULL,87104,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aveda Institute-Phoenix,Tempe,AZ,85284,33.338893,-111.968721,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,127,NULL,NULL,NULL,NULL,NULL,16070,16194,NULL,20650,20650,NULL,NULL,6333,6333,6333,6333,0.9461358314,0.1100702576,44052.606557,NULL,37407,NULL,85284,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aveda Institute-Portland,Portland,OR,97209-3144,45.525507,-122.68474,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,287,NULL,NULL,NULL,NULL,NULL,18166,NULL,16167,NULL,NULL,NULL,NULL,7914,6893,6210,8000,0.9443298969,0.1216494845,35773.195876,NULL,28270,NULL,97209,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aveda Institute-Provo,Provo,UT,84601,40.236621,-111.658335,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92,NULL,NULL,NULL,NULL,NULL,13811,16007,NULL,17080,17080,NULL,NULL,7498,6333,6333,9000,PrivacySuppressed,0.184,54409.096,NULL,23234,NULL,84601,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aveda Institute-South Florida,Davie,FL,33328,26.070447,-80.251766,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,506,NULL,NULL,NULL,NULL,NULL,21994,NULL,24483,21011,NULL,NULL,NULL,7328,6333,6333,6333,0.9104258443,0.1189427313,34383.412628,NULL,25796,NULL,33328,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aveda Institute-Tallahassee,Tallahassee,FL,32304,30.442037,-84.317892,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,633,NULL,NULL,NULL,NULL,NULL,21817,18303,20096,24069,NULL,NULL,NULL,7314,6333,6333,7414,0.9384164223,0.1656891496,37448.533724,NULL,24387,NULL,32304,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aveda Institute-Tucson,Tucson,AZ,85701,32.220141,-110.968361,0.4397,NULL,NULL,NULL,NULL,NULL,NULL,NULL,215,NULL,NULL,NULL,NULL,NULL,12111,13661,13236,NULL,NULL,NULL,NULL,6333,6333,6333,6333,0.9461358314,0.1100702576,44052.606557,NULL,37407,NULL,85701,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aveda Institute-Twin Falls,Twin Falls,ID,83301,42.593567,-114.461545,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76,NULL,NULL,NULL,NULL,NULL,11994,NULL,NULL,NULL,NULL,NULL,NULL,9400,9400,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.1818181818,24208.792208,46997.78,18749,NULL,83301,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Avenue Academy A Cosmetology Institute,Albuquerque,NM,87112-3449,35.107227,-106.570491,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78,NULL,NULL,NULL,NULL,NULL,19428,NULL,NULL,NULL,NULL,NULL,NULL,6333,6333,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,87112,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Avenue Five Institute,Austin,TX,78757,30.369503,-97.728961,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,327,NULL,NULL,NULL,NULL,NULL,14095,13380,13728,NULL,NULL,NULL,NULL,7917,7904,7516,5500,0.9054441261,0.1633237822,30048.747851,NULL,28109,NULL,78757,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Avenue Five Institute-South Austin Campus,Austin,TX,78704-3259,30.221953,-97.756266,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,109,NULL,NULL,NULL,NULL,NULL,14876,NULL,NULL,NULL,NULL,NULL,NULL,7917,7904,7516,5500,NULL,NULL,NULL,NULL,NULL,NULL,78704,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Avera McKennan Hospital School of Radiologic Technology,Sioux Falls,SD,57117-5045,43.533972,-96.715584,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,54229.63,NULL,NULL,57117,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Avera Sacred Heart Hospital,Yankton,SD,57078-3899,42.872359,-97.407865,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,47336.5,NULL,NULL,57078,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Averett University,Danville,VA,24541,36.577287,-79.413203,0.6938,500,485,18,NULL,NULL,NULL,984,881,NULL,NULL,NULL,NULL,NULL,21935,21265,44714,26193,29942,47321,0.5023,25000,18500,15700,17690,0.5265760198,0.1508034611,54227.402967,58009.31,39073,NULL,24541,1.49339,1.17328,1.54875,1.18828,matched (3),VA,Danville City,6,877,29150,929,17174,.24487405,.017574692,3.3898306,71.912834,1.4527845,4.3583536,3.3898306,2.1791768,11.380146,1.9370461,matched (3)
Averett University-Non-Traditional Programs,Danville,VA,24541,36.577287,-79.413203,0.0909,NULL,NULL,NULL,NULL,NULL,NULL,NULL,196,NULL,NULL,NULL,NULL,NULL,12165,NULL,NULL,NULL,NULL,19078,NULL,25000,18500,15700,17690,0.5265760198,0.1508034611,54227.402967,NULL,39073,276,24541,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Avery James School of Cosmetology,Lake Charles,LA,70601,30.202601,-93.219712,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,56,NULL,NULL,NULL,NULL,NULL,16154,15522,18006,20666,NULL,NULL,NULL,6310,4978,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.2234042553,17919.638298,46114.07,15537,NULL,70601,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Avi Career Training,Great Falls,VA,22066,38.974295,-77.296823,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36,NULL,NULL,NULL,NULL,NULL,15156,17597,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,6333,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.325,30269.075,NULL,24439,NULL,22066,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aviation Institute of Maintenance-Atlanta,Duluth,GA,30096,33.948914,-84.147864,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,870,NULL,NULL,NULL,NULL,NULL,22900,23923,26174,28217,28322,28530,NULL,31288,20000,19500,19500,0.0863930886,0.2087832973,29927.25486,61045.8,36079,NULL,30096,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aviation Institute of Maintenance-Charlotte,Charlotte,NC,28227-9403,35.161941,-80.736311,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,185,NULL,NULL,NULL,NULL,NULL,20563,20699,24673,NULL,26618,26618,NULL,30668,7872,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,28227,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aviation Institute of Maintenance-Dallas,Irving,TX,75061,32.836068,-96.941822,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,567,NULL,NULL,NULL,NULL,NULL,21757,24788,23857,27630,28116,28116,NULL,32500,20175,19500,13500,0.0779014308,0.2257551669,30360.263911,64683.28,37586,NULL,75061,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aviation Institute of Maintenance-Fremont,Fremont,CA,94539,37.468594,-121.92135,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,280,NULL,NULL,NULL,NULL,NULL,22982,24849,24744,28153,28153,28153,NULL,31000,19500,21528,19500,0.0565217391,0.2,26811.586957,NULL,NULL,NULL,94539,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aviation Institute of Maintenance-Houston,Houston,TX,77061,29.65852,-95.28262,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,237,NULL,NULL,NULL,NULL,NULL,18827,18845,23417,26027,NULL,26027,NULL,28500,21595,24000,19500,0.0951156812,0.2519280206,31642.966581,56783.64,44099,NULL,77061,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aviation Institute of Maintenance-Indianapolis,Indianapolis,IN,46241,39.753062,-86.288273,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,193,NULL,NULL,NULL,NULL,NULL,23525,23562,NULL,NULL,27755,27755,NULL,30668,7872,PrivacySuppressed,PrivacySuppressed,0.0731707317,0.2520325203,28731.96748,57645.23,35105,NULL,46241,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aviation Institute of Maintenance-Kansas City,Kansas City,MO,64129,39.049869,-94.498289,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,173,NULL,NULL,NULL,NULL,NULL,23749,26538,27717,30634,NULL,30634,NULL,30500,9950,16387,9500,0.1284046693,0.2295719844,24978.984436,54916.65,40820,NULL,64129,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aviation Institute of Maintenance-Las Vegas,Las Vegas,NV,89119,36.083117,-115.118122,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,292,NULL,NULL,NULL,NULL,NULL,21627,22291,25176,27606,27606,27606,NULL,31288,20000,19500,19500,0.0863930886,0.2087832973,29927.25486,NULL,36079,NULL,89119,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aviation Institute of Maintenance-Manassas,Manassas,VA,20109,38.794493,-77.514594,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,181,NULL,NULL,NULL,NULL,NULL,22850,27383,28212,NULL,NULL,30111,NULL,32500,15000,20904,19500,0.0596330275,0.2201834862,30814.279817,84486.46,37109,NULL,20109,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aviation Institute of Maintenance-Norfolk,Norfolk,VA,23518,36.914293,-76.216995,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,230,NULL,NULL,NULL,NULL,NULL,21690,22741,22739,24376,28300,28300,NULL,28020,19500,PrivacySuppressed,PrivacySuppressed,0.1050583658,0.3774319066,28999.424125,53252.39,35193,NULL,23518,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aviation Institute of Maintenance-Orlando,Casselberry,FL,32707,28.680653,-81.334196,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,248,NULL,NULL,NULL,NULL,NULL,18181,18100,21473,22725,NULL,24754,NULL,28843,28499,19500,19500,0.0656565657,0.2146464646,25251.916667,NULL,46290,NULL,32707,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aviation Institute of Maintenance-Philadelphia,Philadelphia,PA,19114-1018,40.070184,-75.007237,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,358,NULL,NULL,NULL,NULL,NULL,20175,20940,20377,NULL,25591,26762,NULL,32500,19500,PrivacySuppressed,PrivacySuppressed,0.0853391685,0.1378555799,22015.851204,51636.76,36596,NULL,19114,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aviation Institute of Maintenance-Teterboro,Teterboro,NJ,07608-1083,40.841265,-74.071874,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,284,NULL,NULL,NULL,NULL,NULL,31648,33577,33370,36332,36332,36332,NULL,13110,12000,13297,12000,PrivacySuppressed,0.14,33980.28,66464.77,58779,NULL,7608,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aviator College of Aeronautical Science & Technology -  Kissimmee,Kissimmee,FL,34741-4620,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12000,10500,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,34741,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aviator College of Aeronautical Science and Technology,Fort Pierce,FL,34946,27.48718,-80.367303,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,273,NULL,NULL,NULL,NULL,NULL,27066,27066,29204,31877,NULL,31877,NULL,12000,10500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,45586.217391,NULL,64383,NULL,34946,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Avila University,Kansas City,MO,64145-1698,38.91339,-94.591758,0.4198,NULL,NULL,21,21,20,NULL,1065,1023,NULL,NULL,NULL,NULL,NULL,15642,17089,18222,21157,22907,30366,0.5147,25000,19000,18750,19953,0.6292749658,0.097127223,53336.967168,67638.05,40645,356,64145,1.66581,1.1929899,1.76651,1.26652,matched (3),MO,Jackson,6,1401,25700,920,16916,.14069457,.030276047,8.6021509,27.956989,18.27957,1.6129034,4.8387098,3.7634411,34.946236,0,matched (3)
Award Beauty School,Hagerstown,MD,21740-5610,39.640443,-77.720283,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,102,NULL,NULL,NULL,NULL,NULL,18176,19305,20446,NULL,NULL,NULL,NULL,11396,6587,PrivacySuppressed,PrivacySuppressed,0.6407506702,0.1662198391,20274.739946,55078.24,17377,NULL,21740,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Ayers Career College,Shreveport,LA,71118,32.418291,-93.798229,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,174,NULL,NULL,NULL,NULL,NULL,23384,NULL,NULL,NULL,NULL,NULL,NULL,9049,8872,PrivacySuppressed,PrivacySuppressed,0.5630769231,0.1784615385,21397.369231,43043.4,24218,NULL,71118,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Azusa Pacific University,Azusa,CA,91702-7000,34.130047,-117.888375,0.936,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4498,NULL,NULL,NULL,NULL,NULL,26548,27031,28538,30578,37078,56802,0.6622,23350,20613,20534,18987,0.7258883249,0.1696881798,63280.356055,73950.46,49365,4508,91702,1.82262,1.614,1.87456,1.6504101,matched (3),CA,Los Angeles,6,6543,33096,1030,23084.711,.032725167,.13003185,9.943182,29.545454,9.232955,20.738636,6.676136,4.8295455,19.034092,0,matched (3)
B M Spurr School of Practical Nursing,Glen Dale,WV,26038,39.946126,-80.752394,0.625,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,NULL,NULL,NULL,NULL,NULL,5583,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,17109.842105,40607.89,34377,NULL,26038,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
B-Unique Beauty and Barber Academy,Greenville,SC,29607-2314,34.844106,-82.365104,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,NULL,NULL,NULL,NULL,NULL,9836,7501,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,20081.705882,NULL,NULL,NULL,29607,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
BJ's Beauty & Barber College,Tacoma,WA,98409,47.208428,-122.483385,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,53,NULL,NULL,NULL,NULL,NULL,15844,NULL,NULL,NULL,NULL,NULL,NULL,7550,6045,PrivacySuppressed,PrivacySuppressed,0.7464788732,PrivacySuppressed,34241.366197,61358.6,22940,NULL,98409,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
BK Cosmo College of Cosmetology,Kerrville,TX,78028-4312,30.055075,-99.15037,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,NULL,NULL,NULL,NULL,NULL,21275,21848,NULL,25332,25332,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,0.3157894737,22109.157895,50757.31,19550,NULL,78028,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Babson College,Wellesley,MA,02457-0310,42.297017,-71.264057,0.2697,660,700,30,31,29,NULL,1361,2435,NULL,NULL,NULL,NULL,NULL,21453,20502,26552,29192,51309,72378,0.9465,22750,19000,19500,21250,0.4822134387,PrivacySuppressed,119186.69565,82978.89,78443,883,2457,1.883,1.5484101,1.91689,1.59418,matched (3),MA,Norfolk,4,2106,45120,1275,19718,.022272987,.034837235,0,100,0,0,0,0,0,0,matched (3)
Bacone College,Muskogee,OK,74403-1597,35.777082,-95.334046,0.4728,468,470,17,17,16,NULL,944,318,NULL,NULL,NULL,NULL,NULL,15975,12995,14403,18095,21175,31050,0.0922,29375,15000,15000,10250,0.334519573,0.0486358244,33762.645314,44521.89,31133,NULL,74403,1.1198,.82683003,1.30861,.87740999,matched (3),OK,Muskogee,8,965,14050,825,13997,.17108434,.021686748,0,19.178082,47.945206,24.657534,0,2.7397261,5.4794521,0,matched (3)
Bais Binyomin Academy,Monsey,NY,10952,41.123013,-74.078802,0.7083,NULL,NULL,NULL,NULL,NULL,NULL,NULL,35,NULL,NULL,NULL,NULL,NULL,16100,17287,19304,NULL,NULL,27810,1,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL,10952,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
